,id,artist,album,date,duration,description,thumbnail,views,score,genre,shirt,shirt_rgb
10,BSgPn1ijW7k,The Jimi Hendrix Experience,Electric Ladyland,2022-01-04T04:15:47Z,PT10M49S,"listen: <url>  classics week 2022 kicks off with the ambitious and phenomenal final album by the jimi hendrix experience.  more classic reviews: <url>  = subscribe: <url>  patreon: <url>  official site: <url>  twitter: <url>  instagram: <url>  tiktok: <url>  tnd twitch: <url> =  the jimi hendrix experience - electric ladyland / 1968 / reprise / psych rock, blues  classic/10  y'all know this is just my opinion, right?",https://i.ytimg.com/vi/BSgPn1ijW7k/hqdefault.jpg,246618,,"['psych rock', 'blues']",other,"[(162, 123, 126), (5, 4, 4), (89, 40, 49)]"
11,WxdzDxf0I0k,Fire,Toolz,2021-12-16T06:11:15Z,PT8M35S,"listen: <url>  eternal home is seriously impressive in its scope and eclecticism, almost overbearingly so in some pockets.  more metal reviews: <url>  = subscribe: <url>  patreon: <url>  official site: <url>  twitter: <url>  instagram: <url>  tiktok: <url>  tnd twitch: <url> =  fav tracks: in the pinewaves, guardian angel bear, odd cat sanctuary, yearning=alchemical fire, umbilical cord blood, lellow birbs, softly chewing quiet stars, rubber band wrist, eyes w/o a brain, where on earth is my sacchidananda, advaita shuffling, window 2 window 2 window 2 window, window 2 window 2 window 2 window 2 window, this particular universe is friendly :), outside bears, to make whole be whole  least fav track: i am a cloud  fire-toolz - eternal home / 2021 / hausu mountain / blackened vapor, etc.  7/10  y'all know this is just my opinion, right?",https://i.ytimg.com/vi/WxdzDxf0I0k/hqdefault.jpg,45812,7.0,"['blackened vapor', 'etc.']",other,"[(49, 32, 39), (202, 131, 109), (136, 125, 120)]"
12,dtNbOpGOjmw,Juice WRLD,Fighting Demons,2021-12-15T04:35:28Z,PT7M18S,"listen: <url>  fighting demons sadly isn't as successful as last year's legends never die at upholding juice's legacy.  more rap reviews: <url>  = subscribe: <url>  patreon: <url>  official site: <url>  twitter: <url>  instagram: <url>  tiktok: <url>  tnd twitch: <url> =  fav tracks: burn, already dead, you wouldn't understand, not enough, until the plug comes back around  least fav track: wandered to la  juice wrld - fighting demons / 2021 / grade a / emo trap  4/10  y'all know this is just my opinion, right?",https://i.ytimg.com/vi/dtNbOpGOjmw/hqdefault.jpg,314677,4.0,['emo trap'],white_check,"[(181, 176, 171), (58, 50, 50), (100, 83, 83)]"
13,5l7sWQ9Z-9A,death's dynamic shroud.wmv,Faith in Persona,2021-12-14T03:53:40Z,PT7M54S,"listen: <url> link for mixtape club members: <url>  keith didn't have to go this hard.  more electronic reviews: <url>  = subscribe: <url>  patreon: <url>  official site: <url>  twitter: <url>  instagram: <url>  tiktok: <url>  tnd twitch: <url> =  fav tracks: tear in abyss, see me, faith in persona, just to be needed, last minutes of the memory, rip  least fav track: someone in the room  death's dynamic shroud.wmv - faith in persona / 2021 / self-released / vaporwave, dance-pop, glitch  8/10 <url>  y'all know this is just my opinion, right?",https://i.ytimg.com/vi/5l7sWQ9Z-9A/hqdefault.jpg,132345,8.0,"['vaporwave', 'dance-pop', 'glitch']",yellow_check,"[(163, 149, 120), (47, 33, 36), (79, 65, 65)]"
14,FVlDV15m854,L'Rain,Fatigue,2021-12-12T19:13:14Z,PT5M55S,"listen: <url>  late to the party, but yeah, this is one of the year's most adventurous pop projects.  other reviews: <url>  = subscribe: <url>  patreon: <url>  official site: <url>  twitter: <url>  instagram: <url>  tiktok: <url>  tnd twitch: <url> =  fav tracks: find it, blame me, suck teeth, two face, i v  least fav track: need be  l'rain - fatigue / 2021 / mexican summer / neo-psychedelic soul, sound collage  8/10 <url>  y'all know this is just my opinion, right?",https://i.ytimg.com/vi/FVlDV15m854/hqdefault.jpg,55462,8.0,"['neo-psychedelic soul', 'sound collage']",other,"[(63, 50, 71), (183, 51, 63), (127, 120, 128)]"
15,yJywipy8DXw,Catbite,Nice One,2021-12-08T05:30:50Z,PT4M47S,"listen: <url>  nice one!  more rock reviews: <url>  = subscribe: <url>  patreon: <url>  official site: <url>  twitter: <url>  instagram: <url>  tiktok: <url>  tnd twitch: <url> =  fav tracks: asinine aesthetic, call your bluff, excuse me miss, stay, creepin, bidi bidi bom bom  least fav track: tv screen beauty queen  catbite - nice one / 2021 / bad time / ska  7/10  y'all know this is just my opinion, right?",https://i.ytimg.com/vi/yJywipy8DXw/hqdefault.jpg,47284,7.0,['ska'],white_check,"[(190, 184, 181), (42, 28, 33), (85, 71, 72)]"
16,QLg0Kwmx0vw,Snail Mail,Valentine,2021-12-07T03:47:39Z,PT4M55S,"listen: <url>  valentine doesn't offer too much beyond its breakup narrative.  more rock reviews: <url>  = subscribe: <url>  patreon: <url>  official site: <url>  twitter: <url>  instagram: <url>  tiktok: <url>  tnd twitch: <url> =  fav tracks: ben franklin, forever (sailing)  least fav track: c. et al.  snail mail - valentine / 2021 / matador / indie rock  5/10  y'all know this is just my opinion, right?",https://i.ytimg.com/vi/QLg0Kwmx0vw/hqdefault.jpg,103649,5.0,['indie rock'],other,"[(184, 179, 209), (4, 4, 5), (156, 70, 69)]"
17,nr_g5ksJoDQ,YoungBoy Never Broke Again,"Sincerely, Kentrell",2021-12-05T03:32:37Z,PT4M7S,"listen: <url>  yb has the potential to be better.  more rap reviews: <url>  = subscribe: <url>  patreon: <url>  official site: <url>  twitter: <url>  instagram: <url>  tiktok: <url>  tnd twitch: <url> =  fav tracks: bad morning, on my side, smoke strong, 50 shots, toxic punk, life support, white teeth  least fav track: kickstand  youngboy never broke again - sincerely, kentrell / 2021 / atlantic / trap rap  4/10  y'all know this is just my opinion, right?",https://i.ytimg.com/vi/nr_g5ksJoDQ/hqdefault.jpg,168589,4.0,['trap rap'],white_check,"[(188, 179, 167), (38, 25, 25), (90, 77, 71)]"
18,KWObzAl8uX4,Juçara Marçal,Delta Estácio Blues,2021-12-03T03:47:48Z,PT6M24S,"listen: <url>  the songs on delta estácio blues are quality, varied, and unlike much of anything else this year.  other reviews: <url>  = subscribe: <url>  patreon: <url>  official site: <url>  twitter: <url>  instagram: <url>  tiktok: <url>  tnd twitch: <url> =  fav tracks: vi de relance a coroa, sem cais, ladra, crash, baleia, lembrancas que guardei  least fav track: corpus christi  jucara marcal - delta estacio blues / 2021 / qtv / brazilian avant-garde  7/10  y'all know this is just my opinion, right?",https://i.ytimg.com/vi/KWObzAl8uX4/hqdefault.jpg,49215,7.0,['brazilian avant-garde'],other,"[(61, 56, 66), (220, 215, 213), (156, 156, 154)]"
19,PSzGIQrWq6Y,Deerhoof,"Actually, You Can",2021-12-02T02:47:45Z,PT6M7S,"listen: <url>  deerhoof is in banger mode on actually, you can.  more rock reviews: <url>  = subscribe: <url>  patreon: <url>  official site: <url>  twitter: <url>  instagram: <url>  tiktok: <url>  tnd twitch: <url> =  fav tracks: be unbarred o ye gates of hell, department of corrections, scarcity is manufactured, ancient mysteries described, plant thief, epic love poem, divine comedy  least fav track: we grew and we are astonished  deerhoof - actually, you can / 2021 / joyful noise / noise pop, indie rock  8/10 <url>  y'all know this is just my opinion, right?",https://i.ytimg.com/vi/PSzGIQrWq6Y/hqdefault.jpg,63726,8.0,"['noise pop', 'indie rock']",other,"[(244, 237, 221), (229, 199, 123), (159, 149, 143)]"
20,Bb7QhCfBNQ8,Richard Dawson & Circle,Henki,2021-12-01T06:30:06Z,PT7M18S,"listen: <url>  an unexpected dream team.  more rock reviews: <url>  = subscribe: <url>  patreon: <url>  official site: <url>  twitter: <url>  instagram: <url>  tiktok: <url>  tnd twitch: <url> =  fav tracks: cooksonia, ivy, silphium, methuselah, lily, pitcher  least fav track: silene  richard dawson & circle - henki / 2021 / domino / prog rock, heavy psych  9/10 <url>  y'all know this is just my opinion, right?",https://i.ytimg.com/vi/Bb7QhCfBNQ8/hqdefault.jpg,105568,9.0,"['prog rock', 'heavy psych']",yellow_check,"[(167, 151, 113), (46, 33, 33), (78, 65, 64)]"
21,t1izUgTyMs8,Converge & Chelsea Wolfe,Bloodmoon: I,2021-11-30T05:00:55Z,PT6M35S,"listen: <url>  bloodmoon i is a pretty solid collab, and hopefully the title hints that the best is yet to come.  more metal reviews: <url>  = subscribe: <url>  patreon: <url>  official site: <url>  twitter: <url>  instagram: <url>  tiktok: <url>  tnd twitch: <url> =  fav tracks: blood moon, viscera of men, coil, tongues playing dead, lord of liars, blood dawn  least fav track: scorpion's sting  converge & chelsea wolfe - bloodmoon: i / 2021 / epitaph / gothic & atmospheric sludge metal  7/10  y'all know this is just my opinion, right?",https://i.ytimg.com/vi/t1izUgTyMs8/hqdefault.jpg,79630,7.0,['gothic & atmospheric sludge metal'],other,"[(117, 51, 49), (205, 96, 74), (144, 151, 159)]"
22,5XM_6i5_wb4,dltzk,Frailty,2021-11-25T23:58:40Z,PT5M39S,"listen: <url>  dltzk presents some amazing ideas on frailty, and hopefully clearer recordings in the future will allow them to shine even more.  other reviews: <url>  = subscribe: <url>  patreon: <url>  official site: <url>  twitter: <url>  instagram: <url>  tiktok: <url>  tnd twitch: <url> =  fav tracks: your clothes, misplace, movies for guys, kodak moment, how to lie, eyes off the wheel i'm a star  least fav track: buzzcut daisy  dltzk - frailty / 2021 / deadair / experimental pop, indietronic  7/10  y'all know this is just my opinion, right?",https://i.ytimg.com/vi/5XM_6i5_wb4/hqdefault.jpg,80970,7.0,"['experimental pop', 'indietronic']",white_check,"[(182, 175, 171), (27, 19, 32), (90, 66, 63)]"
23,_U9yVOT8VC8,Adele,30,2021-11-25T03:38:25Z,PT10M25S,"listen: <url>  apart from a few ill-conceived stylistic switch-ups, 30 is a classy and moving pop record.  more pop reviews: <url>  = subscribe: <url>  patreon: <url>  official site: <url>  twitter: <url>  instagram: <url>  tiktok: <url>  tnd twitch: <url> =  fav tracks: strangers by nature, easy on me, oh my god, i drink wine, hold on, to be loved, love is a game  least fav track: cry your heart out  adele - 30 / 2021 / melted stone / pop soul  7/10  y'all know this is just my opinion, right?",https://i.ytimg.com/vi/_U9yVOT8VC8/hqdefault.jpg,406665,7.0,['pop soul'],other,"[(167, 61, 55), (224, 208, 197), (215, 155, 156)]"
24,x6Bi-SbHQsY,ABBA,Voyage,2021-11-22T18:16:34Z,PT5M33S,"listen: <url>  while the group's return after four decades is admirable, there's sadly something missing on voyage.  more pop reviews: <url>  = subscribe: <url>  patreon: <url>  official site: <url>  twitter: <url>  instagram: <url>  tiktok: <url>  tnd twitch: <url> =  fav tracks: don't shut me down, just a notion, no doubt about it  least fav track: ode to freedom  abba - voyage / 2021 / umg / europop  5/10  y'all know this is just my opinion, right?",https://i.ytimg.com/vi/x6Bi-SbHQsY/hqdefault.jpg,191831,5.0,['europop'],white_check,"[(182, 175, 168), (28, 15, 16), (83, 69, 68)]"
25,dc-zed6ffrQ,Aesop Rock x Blockhead,Garbology,2021-11-19T03:21:03Z,PT8M42S,"listen: <url>  garbology should be a treat for fans of this pair's seminal work together.  more rap reviews: <url>  = subscribe: <url>  patreon: <url>  official site: <url>  twitter: <url>  instagram: <url>  tiktok: <url>  tnd twitch: <url> =  fav tracks: jazz hands, legerdemain, difficult, oh fudge, more cycles, that is not a wizard, the sea, abandoned malls  least fav track: all the smartest people  aesop rock & blockhead- garbology / 2021 / rhymesayers entertainment / abstract hip hop  7/10  y'all know this is just my opinion, right?",https://i.ytimg.com/vi/dc-zed6ffrQ/hqdefault.jpg,104859,7.0,['abstract hip hop'],other,"[(251, 249, 231), (246, 228, 212), (243, 224, 203)]"
26,bGbewSHZWQA,Taylor Swift,Red (Taylor's Version),2021-11-18T04:58:16Z,PT8M37S,"listen: <url>  taylor's version of her pop crossover opus red is pretty impressive in its attention to detail, and delivers a winning crop of previously unreleased songs.  more pop reviews: <url>  = subscribe: <url>  patreon: <url>  official site: <url>  twitter: <url>  instagram: <url>  tiktok: <url>  tnd twitch: <url> =  fav vault tracks: ronan, better man, nothing new, babe, i bet you think about me, all too well (10 min)  least fav vault track: message in a bottle  taylor swift - red (taylor's version) / 2021 / republic / pop rock, country pop  y'all know this is just my opinion, right?",https://i.ytimg.com/vi/bGbewSHZWQA/hqdefault.jpg,463875,,"['pop rock', 'country pop']",other,"[(180, 53, 51), (239, 204, 194), (53, 7, 6)]"
27,N1Aioax6rYE,IDLES,Crawler,2021-11-17T05:06:20Z,PT6M8S,"listen: <url>  crawler lacks the impact of the band's past few lps.  more rock reviews: <url>  = subscribe: <url>  patreon: <url>  official site: <url>  twitter: <url>  instagram: <url>  tiktok: <url>  tnd twitch: <url> =  fav tracks: the new sensation, the beachland ballroom, the end  least fav track: when the lights come on  idles - crawler / 2021 / partisan / post-punk  6/10  y'all know this is just my opinion, right?",https://i.ytimg.com/vi/N1Aioax6rYE/hqdefault.jpg,151056,6.0,['post-punk'],other,"[(46, 35, 47), (189, 172, 97), (137, 127, 92)]"
28,crZNckV5Q74,An Evening with Silk Sonic ALBUM REVIEW,An Evening with Silk Sonic,2021-11-16T02:49:38Z,PT6M4S,"listen: <url>  a fun little blast of classic soul revivalism.  more pop reviews: <url>  = subscribe: <url>  patreon: <url>  official site: <url>  twitter: <url>  instagram: <url>  tiktok: <url>  tnd twitch: <url> =  fav tracks: leave the door open, fly as me, smokin out the window, put on a smile, skate  least fav track: blast off  silk sonic - an evening with... / 2021 / aftermath entertainment / soul, funk  7/10  y'all know this is just my opinion, right?",https://i.ytimg.com/vi/crZNckV5Q74/hqdefault.jpg,665543,7.0,"['soul', 'funk']",other,"[(35, 30, 54), (221, 219, 220), (140, 148, 148)]"
29,WgEhIuKnZMw,Summer Walker,Still Over It,2021-11-15T06:27:20Z,PT6M57S,"listen: <url>  while still over it is kind of bloated, it shows quite a bit of growth from summer walker since her debut.  more pop reviews: <url>  = subscribe: <url>  patreon: <url>  official site: <url>  twitter: <url>  instagram: <url>  tiktok: <url>  tnd twitch: <url> =  fav tracks: bitter, no love, throw it away, insane, unloyal, dat right there, screwin, 4th baby mama, ciara's prayer  least fav track: switch a n***a out  summer walker - still over it / 2021 / lvrn / r&b  7/10  y'all know this is just my opinion, right?",https://i.ytimg.com/vi/WgEhIuKnZMw/hqdefault.jpg,108715,7.0,['r&b'],other,"[(216, 213, 209), (166, 156, 146), (4, 4, 4)]"
30,pQczJl2jbf8,Sloppy Jane,Madison,2021-11-13T05:42:17Z,PT7M5S,"listen: <url>  madison is one of the year's most beautiful and enigmatic records.  other reviews: <url>  = subscribe: <url>  patreon: <url>  official site: <url>  twitter: <url>  instagram: <url>  tiktok: <url>  tnd twitch: <url> =  fav tracks: overture, party anthem, jesus and your living room floor, lullaby formica, madison, the constable, epilogue  least fav track: wilt  sloppy jane - madison / 2021 / saddest factory / art pop, chamber music...in a cave  8/10 <url>  y'all know this is just my opinion, right?",https://i.ytimg.com/vi/pQczJl2jbf8/hqdefault.jpg,110444,8.0,"['art pop', 'chamber music...in a cave']",yellow_check,"[(167, 150, 111), (43, 31, 32), (79, 64, 62)]"
31,hEtCXuNPxhQ,Dijon,Absolutely,2021-11-10T03:28:15Z,PT4M47S,"listen: <url>  dijon's debut is a bit on the scant side, but still packs a lot of great ideas and performances.  more pop reviews: <url>  = subscribe: <url>  patreon: <url>  official site: <url>  twitter: <url>  instagram: <url>  tiktok: <url>  tnd twitch: <url> =  fav tracks: big mike's, many times, noah's highlight reel, the dress, rodeo clown  least fav track: credits  dijon - absolutely / 2021 / dark green, dark green / alternative r&b  7/10  y'all know this is just my opinion, right?",https://i.ytimg.com/vi/hEtCXuNPxhQ/hqdefault.jpg,115072,7.0,['alternative r&b'],other,"[(211, 184, 159), (15, 10, 8), (119, 77, 51)]"
32,PW-SzhsksvE,Limp Bizkit,Still Sucks,2021-11-09T01:48:58Z,PT15M41S,"listen: <url>  ah shit, here we go again.  more metal reviews: <url>  = subscribe: <url>  patreon: <url>  official site: <url>  twitter: <url>  instagram: <url>  tiktok: <url>  tnd twitch: <url> =  fav tracks: all of them  least fav track: all of them  limp bizkit - still sucks / 2021 / suretone / nu metal, rap rock  🌯/10  y'all know this is just my opinion, right?",https://i.ytimg.com/vi/PW-SzhsksvE/hqdefault.jpg,339446,,"['nu metal', 'rap rock']",red_check,"[(100, 34, 42), (195, 73, 88), (170, 142, 133)]"
33,3VOAXpSR9V0,Marissa Nadler,The Path of the Clouds,2021-11-06T05:13:32Z,PT5M57S,"listen: <url>  the path of the clouds is easily marissa nadler's most instrumentally dense solo project to date, which is mostly a blessing.  other reviews: <url>  = subscribe: <url>  patreon: <url>  official site: <url>  twitter: <url>  instagram: <url>  tiktok: <url>  tnd twitch: <url> =  fav tracks: bessie did you make it?, couldn't have done the killing, if i could breathe underwater, elegy, storm, lemon queen  least fav track: i dream of running  marissa nadler - the path of the clouds / 2021 / sacred bones / dream pop, chamber folk, singer-songwriter  7/10  y'all know this is just my opinion, right?",https://i.ytimg.com/vi/3VOAXpSR9V0/hqdefault.jpg,56306,7.0,"['dream pop', 'chamber folk', 'singer-songwriter']",white_check,"[(181, 178, 177), (36, 21, 31), (84, 73, 77)]"
34,EZc4QCJmKdQ,The War on Drugs,I Don't Live Here Anymore,2021-11-05T02:21:08Z,PT6M45S,"listen: <url>  the war on drugs' heartland rock sound is more direct than ever on i don't live here anymore, with granduciel's vocals and writing not always up to the task.  more rock reviews: <url>  = subscribe: <url>  patreon: <url>  official site: <url>  twitter: <url>  instagram: <url>  tiktok: <url>  tnd twitch: <url> =  fav tracks: change, old skin, wasted  least fav track: victim  the war on drugs - i don't live here anymore / 2021 / atlantic / heartland rock, indie rock  5/10  y'all know this is just my opinion, right?",https://i.ytimg.com/vi/EZc4QCJmKdQ/hqdefault.jpg,92519,5.0,"['heartland rock', 'indie rock']",other,"[(175, 170, 192), (4, 4, 4), (92, 84, 100)]"
35,eBgdS1yHwRk,Mastodon,Hushed and Grim,2021-11-04T03:24:04Z,PT7M12S,"listen: <url>  while a lot more impressive than the preceding emperor of sand, hushed and grim does buckle under its own weight.  more metal reviews: <url>  = subscribe: <url>  patreon: <url>  official site: <url>  twitter: <url>  instagram: <url>  tiktok: <url>  tnd twitch: <url> =  fav tracks: pain with an anchor, the crux, more than i could chew, teardrinker, peace and tranquility, savage lands, gigantium  least fav track: the beast  mastodon - hushed and grim / 2021 / reprise / prog metal  6/10  y'all know this is just my opinion, right?",https://i.ytimg.com/vi/eBgdS1yHwRk/hqdefault.jpg,115748,6.0,['prog metal'],white_check,"[(200, 194, 189), (16, 9, 12), (128, 80, 70)]"
36,aae1g4R9KJA,Ed Sheeran,=,2021-11-02T02:11:18Z,PT8M13S,"listen: <url>  not as bad as the collaborations album, albeit not by much.  more pop reviews: <url>  = subscribe: <url>  patreon: <url>  official site: <url>  twitter: <url>  instagram: <url>  tiktok: <url>  tnd twitch: <url> =  fav tracks: tides, the joker and the queen, visiting hours  least fav track: leave your life  ed sheeran - = / 2021 / asylum / pop  2/10  y'all know this is just my opinion, right?",https://i.ytimg.com/vi/aae1g4R9KJA/hqdefault.jpg,549714,2.0,['pop'],red_check,"[(95, 25, 29), (198, 69, 61), (168, 143, 121)]"
37,bbsD3mRmQn4,JPEGMAFIA,LP!,2021-10-29T04:05:54Z,PT10M8S,"listen: <url>  and still undefeated: jpegmafia!  more rap reviews: <url>  = subscribe: <url>  patreon: <url>  official site: <url>  twitter: <url>  instagram: <url>  tiktok: <url>  tnd twitch: <url> =  fav tracks: trust, dirty, nemo, hazard duty pay, what kinda rappin is this, thots prayer, are u happy, rebound, og, dikembe, tired nervous & broke, 🔥, bmt, the ghost of ranking dread, untitled  least fav track: 💯  jpegmafia - lp! / 2021 / eqt / experimental hip hop  9/10 <url>  y'all know this is just my opinion, right?",https://i.ytimg.com/vi/bbsD3mRmQn4/hqdefault.jpg,419015,9.0,['experimental hip hop'],yellow_check,"[(167, 151, 114), (50, 37, 41), (80, 64, 65)]"
38,Bjm9BdhuvRY,Parquet Courts,Sympathy for Life,2021-10-28T04:17:49Z,PT6M41S,"listen: <url>  it's nice to hear parquet courts go in some different directions on sympathy for life, but the successes are more or less in the spots that most resemble the previous wide awake.  more rock reviews: <url>  = subscribe: <url>  patreon: <url>  official site: <url>  twitter: <url>  instagram: <url>  tiktok: <url>  tnd twitch: <url> =  fav tracks: walking at a downtown pace, plant life, homo sapien  least fav track: just shadows  parquet courts - sympathy for life / 2021 / rough trade / post-punk, indie rock  6/10  y'all know this is just my opinion, right?",https://i.ytimg.com/vi/Bjm9BdhuvRY/hqdefault.jpg,87366,6.0,"['post-punk', 'indie rock']",other,"[(151, 124, 130), (7, 5, 5), (89, 47, 53)]"
39,7NJBESktHRU,Lana Del Rey,Blue Banisters,2021-10-27T03:52:11Z,PT6M47S,"listen: <url>  blue banisters sounds more slapped together than lana's past two lps.  more pop reviews: <url>  = subscribe: <url>  patreon: <url>  official site: <url>  twitter: <url>  instagram: <url>  tiktok: <url>  tnd twitch: <url> =  fav tracks: blue banisters, arcadia, if you lie down with me, thunder  least fav track: dealer  lana del rey - blue banisters / 2021 / polydor / singer-songwriter, pop, soft rock  5/10  y'all know this is just my opinion, right?",https://i.ytimg.com/vi/7NJBESktHRU/hqdefault.jpg,211003,5.0,"['singer-songwriter', 'pop', 'soft rock']",blue_check,"[(56, 71, 120), (17, 7, 19), (130, 116, 130)]"
